YESIL_ALAN_TURU;ILCE;MAHALLE;ADRES;PARK_ADI;YESIL_ALAN_MIKTARI;KONDISYON_TAKIMI;OYUN_GRUBU
Park;Bayraklı;Adalet Mahallesi;Manas Bulvarı No: 78;Adalet Mahallesi Muhtarlığı Yanı Parkı;1640;1;1
Park;Bayraklı;75. Yıl Mahallesi;1620/39 Sokak;Bayraklı 75.Yıl Parkı ;2130;;1
Park;Bayraklı;75. Yıl Mahallesi;1620/41 Sokak;Bayraklı 75.Yıl Parkı ;15732;2;1
Kıyı Şeridi;Bayraklı;Bayraklı Mahallesi;Sahil Bandı;Bayraklı Sahil Şeridi ;155390;3;4
Park;Bayraklı;Emek Mahallesi;Şehit Asteğmen Mesut Uzlu Sokak;EÇEV;4812;;1
Park;Bayraklı;Emek Mahallesi;7261 Sokak;Gümüşpala Öğrenim Birimi ;2114;;1
Park;Bayraklı;Soğukkuyu Mahallesi;Girne Bulvarı /Yeni Girne Kapalı Pazaryeri Yanı;İzzet Erişen Parkı  ;1568;1;1
Rekreasyon Alanı;Bayraklı;Çınarlı Mahallesi;Altınyol;Meles Deltası;147323;;1
Park;Bayraklı;Org. Nafiz Gürman Mahallesi;7171 Sokak;Nafiz Gürman Futbol Sahası Yanı;3450;;
Park;Bayraklı;Gümüşpala Mahallesi;7000 Sokak;Naldöken Parkı ;8077;1;1
Rekreasyon Alanı;Bayraklı;Cengizhan Mahallesi; 1620/39 Sokak;Ord. Prof. Dr. Ekrem Akurgal Yaşam Parkı ;90000;3;3
Park;Bayraklı;Org. Nafiz Gürman Mahallesi;7160 Sokak;Org. Nafiz Gürman Mahallesi Parkı;4269;1;1
Park;Bayraklı;Yamanlar Mahallesi;7303 Sokak;Petkim Parkı;5283;;1
Park;Bayraklı;Mansuroğlu Mahallesi;283/14 Sokak;Şehit Hakan Ünal Parkı;30549;1;1
Park;Bayraklı;Mansuroğlu Mahallesi;Alija İzzet Begoviç Caddesi;Şehit Polis Fethi Sekin Parkı;37505;;2
Park;Bayraklı;Soğukkuyu Mahallesi;1847 Sokak;Umatem Parkı;6372;;1
Park;Bayraklı;Manavkuyu Mahallesi;249/2 Sokak;Yüzbaşı İbrahim Hakkı Caddesi - Cevizli Park;7854;1;1
Park;Bayraklı;Manavkuyu Mahallesi;617 Sokak;Yüzbaşı İbrahim Hakkı Caddesi (Bahar Taksi Durağı Arkası);25603;1;1
Park;Bayraklı;Manavkuyu Mahallesi;617/1 Sokak;Yüzbaşı İbrahim Hakkı Caddesi (Opet Yanı);27006;1;
Park;Bornova;Erzene Mahallesi;119 Sokak;85. Yıl Anadolu Ajansı Parkı;21895;1;1
Rekreasyon Alanı;Bornova;Kızılay Mahallesi;Yüzbaşı İbrahim Hakkı Caddesi;Bornova Aşık Veysel Rekreasyon Alanı;231046;3;3
Meydan;Bornova;Erzene Mahallesi;…………………;Bornova Meydanı;8420;;
Park;Bornova;İnönü Mahallesi;Özdar Caddesi 823 Sokak;Cemevi Kültür Merkezi Yanı;2631;;1
Park;Bornova;Çamkule Mahallesi;4713 Sokak;Çamkule Parkı;390;;1
Park;Bornova;Doğanlar Mahallesi;1527 Sokak;Doğanlar Mahallesi Parkı;1093;;1
Rekreasyon Alanı;Bornova;Meriç Mahallesi ;5748 Sokak;Dr. Behçet Uz Rekreasyon Alanı;179999;1;2
Park;Bornova;Ergene Mahallesi;456/7 Sokak;Ergene Mahallesi Parkı;2065;1;1
Park;Bornova;Erzene Mahallesi;Şehit Taha Canım Sokak ;Evka-3 Parkı (Gürmar Alışveriş Merkezi Yanı);11861;;1
Park;Bornova;Erzene Mahallesi;108/2 Sokak;Evka-3 Parkı (Migros Alışveriş Merkezi Karşısı);11004;1;1
Park;Bornova;Evka -4 Mahallesi;1027 Sokak No:24;Evka-4 Spor Salonu Yanı Parkı;30057;;1
Rekreasyon Alanı;Bornova;Çamiçi Mahallesi;Çilek Sokak;Homeros Vadisi ;556266;1;2
Park;Bornova;Işıklar Mahallesi;6014 Sokak;Işıklar Mahallesi Parkı;485;;1
Park;Bornova;İnönü Mahallesi;756 Sokak;İnönü Mahallesi Parkı;3326;1;1
Park;Bornova;İnönü Mahallesi;768 Sokak;İnönü Mahallesi Parkı -1;2450;1;1
Park;Bornova;Atatürk Mahallesi;Barbaros Caddesi 920 Sokak;Macera Park;30000;;3
Park;Bornova;Meriç Mahallesi;5717 Sokak;Meriç Mahallesi Parkı;54501;;1
Park;Bornova;Naldöken Mahallesi;1261 Sokak;Naldöken Mahallesi Parkı;585;;1
Park;Bornova;Ergene Mahallesi;Mustafa Kemal Caddesi;Peterson Parkı;30829;;
Rekreasyon Alanı;Karşıyaka;Mavişehir Mahallesi;2040 Sokak;Peynircioğlu Deresi;35863;;
Park;Bornova;Rafet Paşa Mahallesi;Yıldırım Beyazıt Caddesi;Şehit Üsteğmen Ömer Bozkurt Parkı;5919;1;1
Park;Bornova;Yeşilçam Mahallesi;2004 Sokak;Yeşilçam Parkı;2411;1;1
Park;Bornova;Yunus Emre Mahallesi;7550 Sokak;Yunus Emre Mahallesi Parkı;1557;1;1
Park;Bornova;Yunus Emre Mahallesi;7520 Sokak;Yunus Emre Muhtarlık Yanı Parkı ;1167;;1
Park;Bornova;Atatürk Mahallesi;916 Sokak;Zümrütevler Parkı;27569;1;1
Park;Çiğli;Aydınlıkevler Mahallesi;6792 Sokak;Ahmet Çiftçi Parkı;8337;1;1
Park;Çiğli;Ahmet Efendi Mahallesi;1107 Sokak;Ahmet Efendi Parkı ;6587;1;1
Park;Çiğli;Evka -2 Mahallesi;6808 Sokak;Ahmet Taner Kışlalı Parkı;21212;1;1
Park;Çiğli;Evka-5 Mahallesi;8927 Sokak;Atatürk Parkı;20961;1;2
Park;Çiğli;Aydınlıkevler Mahallesi;6793 Sokak;Aydınlıkevler Parkı;19978;1;1
Park;Çiğli;Balatçık Mahallesi;8789 Sokak;Balatçık Mahallesi Parkı;4662;;1
Park;Çiğli;Cumhuriyet Mahallesi;Nazmi Kahya Caddesi ;Cumhuriyet Mahallesi Parkı;2855;1;1
Park;Çiğli;Atatürk Mahallesi;8841 Sokak;Çifte Havuzlar Parkı;13967;1;1
Park;Çiğli;Ahmet Taner Kışlalı Mahallesi;6831 Sokak;Çiğli Kültür Merkezi;10182;1;1
Park;Çiğli;Maltepe Mahallesi;Anadolu Caddesi;Çiğli Öğrenim Birimi;10288;;1
Park;Çiğli;Çağdaş Mahallesi;8820/1 Sokak;Dr. Sadık Ahmet Parkı;7145;1;1
Park;Çiğli;Egekent Mahallesi;8831 Sokak;Egekent Tören Alanı;54053;1;1
Park;Çiğli;Ahmet Taner Kışlalı Mahallesi;6767 Sokak;Ensari Bulut Parkı;2307;;1
Park;Çiğli;Evka -2 Mahallesi;6853 Sokak;Evka -2 Semt Merkezi;3516;;
Park;Çiğli;Evka-5 Mahallesi;8929 Sokak;Evka-5 Parkı;3538;1;1
Park;Çiğli;Aydınlıkevler Mahallesi;6784 Sokak;Fakir Baykurt Koruluk Alan;15650;;1
Park;Çiğli;Aydınlıkevler Mahallesi;6790 Sokak;Fakir Baykurt Parkı;6202;1;
Park;Çiğli;Güzeltepe Mahallesi;8424/11 Sokak;Güzeltepe Mesire Alanı;11690;1;1
Park;Çiğli;İnönü Mahallesi;9501Sokak;Harmandalı Dere Kenarı Parkı;8395;1;1
Park;Çiğli;İnönü Mahallesi;9221 Sokak;Harmandalı İnönü Mahallesi Parkı -1;6581;1;1
Park;Çiğli;Ataşehir Mahallesi;8019/11 Sokak - Nazım Hikmet Ran Bulvarı;Hava Şehitleri Parkı;7529;1;1
Park;Çiğli;Ahmet Taner Kışlalı Mahallesi;6794/1 Sokak;Işılay Saygın Parkı;13967;1;1
Park;Çiğli;İnönü Mahallesi;9202 Sokak;İnönü Mahallesi Parkı  (Muhtarlık Yanı);4461;;1
Park;Çiğli;İnönü Mahallesi; 9504 Sokak;Erdal İnönü Parkı;3891;1;1
Park;Çiğli;Tuzla;Ahmet Piriştina Caddesi;İzmir Doğal Yaşam Parkı;375234;;1
Meydan;Çiğli;Ataşehir Mahallesi;8001/3 Sokak;Kasaplar Meydanı;3850;;
Park;Çiğli;Harmandalı Gazi  Mustafa Kemal Atatürk Mahallesi;30 Ağustos Caddesi;Kubilay Parkı;8119;;
