YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU,latitude,longitude
Park,Konak,ALSANCAK,LİMAN CADDESİ,Alsancak Asteğmen Besim Bey Parkı,5457,,,38.44075480214136,27.152687776017427
Park,Konak,YEŞİLTEPE,MİTHATPAŞA CADDESİ,Bahri Baba Parkı,6024,,,40.99675437825484,28.827791315820182
Park,Konak,EGE,1517 SOKAK,Ege Mahallesi Parkı  (Ege Mahallesi Muhtarlığı Yanı),800,,1.0,41.04392395,28.83145525
Park,Konak,GÜZELYALI,MUSTAFA KEMAL SAHİL BULVARI,Mustafa Kemal Sahil Bulvarı Kara Tarafı,42500,1.0,1.0,38.41999804169302,27.128057978116225
Park,Konak,SELÇUK,EŞREFPAŞA CADDESİ,Cici Park,17435,1.0,1.0,38.41204722908496,27.130882386562654
Park,Konak,MEHMET ALİ AKMAN,İNÖNÜ CADDESİ,Güzelyalı I. Çiçek Parkı,2200,,,38.4076983029467,27.12516012431439
Park,Konak,MURAT REİS,188 SOKAK,Mehmet Yüce Sonkurt Parkı,10215,1.0,1.0,41.0979552985424,28.859645191008646
Park,Konak,NAMIK KEMAL,421 SOKAK,Mustafa Gülüm Parkı,325,,1.0,39.997395227616664,32.84072344104698
Park,Konak,KADİFEKALE,998 SOKAK,Kadifekale Cami Yanı Park,90,,,39.91274296652786,32.92156705741975
Park,Konak,ALSANCAK,ENVER DÜNDAR BAŞAR SOK. NO:12,Alsancak Kıbrıs Şehitleri Parkı,628,,1.0,38.43853772623832,27.142990497174324
Park,Konak,GÖZTEPE,MİTHATPAŞA CADDESİ,Susuzdede Parkı,35700,1.0,1.0,40.99675437825484,28.827791315820182
Park,Konak,GÖZTEPE,İNÖNÜ CADDESİ 88 SOKAK,Konak Kadınlar Birliği Parkı (İnönü Cd.-88.Sk),1500,1.0,1.0,,
Park,Konak,ATİLLA,EŞREFPAŞA CADDESİ,Yeni Bayramyeri Park,4536,,1.0,38.41204722908496,27.130882386562654
Park,Konak,ZAFERTEPE,YEŞİLLİK CADDESİ,Yağhaneler Havuzlu Park (Şelale Parkı),4346,,,38.39002048484571,27.134756824573962
Park,Konak,YEŞİLTEPE,MİTHATPAŞA CADDESİ,Şelaleli Park (Sabancı Kültür Merkezi Karşısı),1500,,,40.99675437825484,28.827791315820182
Park,Konak,KAHRAMANLAR,İŞÇİLER CADDESİ,Kahramanlar Fayton Park (İzelman A.Ş. Yanı),1400,,,38.43523588883534,27.155039052830972
Park,Konak,ALİ REİS,969 SOKAK  NO:  12/B,Agora Parkı (İkiçeşmelik),2550,,1.0,,
Park,Konak,ALSANCAK,ALİ ÇETİNKAYA BULVARI,Alsancak Zübeyde Hanım Parkı,150,,,38.434364702036454,27.143624220407943
Park,Konak,MEHMET ALİ AKMAN,MUSTAFA KEMAL SAHİL BULVARI,Tarık Zafer Tunaya Parkı,2500,,,38.41999804169302,27.128057978116225
Park,Konak,BARBAROS,MUSTAFA KEMAL SAHİL BULVARI,Zeynep Aslı,2500,,,38.41999804169302,27.128057978116225
Park,Konak,,,Zeynep Aslı,5333,1.0,1.0,46.3144754,11.0480288
Yeşil Alan,Konak,,,Göztepe Kafeler Önü,45575,,1.0,46.3144754,11.0480288
Park,Konak,,,Deniz Atı,4210,1.0,,46.3144754,11.0480288
Park,Konak,,,Tarık Zafer Tunaya Parkı,3987,1.0,,46.3144754,11.0480288
Park,Karabağlar,BASIN SİTESİ,173/5 SOKAK,Hasan Tahsin Parkı,15008,,1.0,38.39783156932385,27.09620596603738
Park,Karabağlar,LİMONTEPE,9700 SOKAK,Limontepe-1  Parkı (Cemevi Yanı),3439,,1.0,37.74271345197507,29.091986497284918
Park,Karabağlar,ESENYALI,52/72 SOKAK,Karabağlar Özdemir Sabancı Parkı (İnönü Cd. Hıfzısıhha Eski Metro Şantiye Alanı-52/72 Sk.),1133,,,38.39278215318368,27.09072810345329
Park,Karabağlar,LİMONTEPE,9710 SOKAK,Limontepe-2  Parkı  (Camii Yanı),2000,1.0,1.0,37.74271345197507,29.091986497284918
Park,Karabağlar,MALİYECİLER,52/124 SOKAK,Maliyeciler Parkı,4364,1.0,1.0,40.99574870872862,37.870843520170325
Park,Karabağlar,REFET BELE,9139 SOKAK,Manolya Parkı,6150,1.0,1.0,38.39081669930312,27.110200430172622
Park,Karabağlar,ESENTEPE,46/25 SOKAK,Mimkent Parkı,8538,1.0,1.0,38.387250559858536,27.074876623448215
Park,Karabağlar,KAZIM KARABEKİR,9184 SOKAK,Nevzat Ayaz Parkı,6990,1.0,1.0,38.389736599736935,27.11295550501778
Park,Karabağlar,VATAN,9089/1 SOKAK,Şehit Erkan Özcan Lisesi Önü Parkı,3727,1.0,1.0,38.394796666718904,27.10253218777403
Park,Karabağlar,VATAN,9173 SOKAK,Vatan Mahallesi Parkı,3455,,1.0,38.39172070254946,27.105974655646374
Park,Karabağlar,KARABAĞLAR,5783 SOKAK,Uğur Mumcu Parkı  (Karabağlar Mh. 5783 Sk),2956,1.0,1.0,37.74271345197507,29.091986497284918
Park,Karabağlar,AYDIN,4271 SOKAK (PAŞA KÖPRÜSÜ MEZARLIĞI),Paşaköprü Parkı,810,,,,
Park,Karabağlar,PEKER,5138 SOKAK,Peker Mahallesi Parkı,22782,,1.0,38.43850391166054,27.188938254895007
Park,Karabağlar,SEVGİ,4640 SOKAK,Sevgi Mahallesi Parkı,41386,1.0,1.0,35.2464858,33.0356074
Park,Karabağlar,SELVİLİ,4019/10 SOKAK,Selvili Parkı,1275,,1.0,40.98491896663501,28.89859373760492
Park,Karabağlar,YUNUS EMRE,4256 SOKAK,Yunus Emre Parkı,4496,,1.0,36.91259163514132,30.64145370061991
Park,Karabağlar,YAŞAR KEMAL,6002 SOKAK,Uzundere TOKİ Konutları 1,63137,,,36.91912587609297,30.728575636403143
Park,Karabağlar,YAŞAR KEMAL,6003 SOKAK,Uzundere TOKİ Konutları 2,63137,,,36.919536150000006,30.728130750000002
Park,Karabağlar,YAŞAR KEMAL,6004 SOKAK,Uzundere TOKİ Konutları 3,63137,,,36.82183596162825,34.65304206787005
Park,Karabağlar,UZUNDERE,3959/1 SOKAK,Uzundere 3959/1 Sokak Parkı,6821,,1.0,37.74271345197507,29.091986497284918
Park,Karabağlar,YURTOĞLU,3946 SOKAK,Yurtoğlu Mahallesi Parkı,50609,1.0,1.0,38.3604132681894,27.097021419724946
